Strike Price,Open Interest,LTP,Change in OI,Volume
22250,724,1971.65,-32,203
22300,1829,1910.85,-43,117
22350,150,0.0,0,0
22400,24,0.0,0,0
22450,13,1660.0,-2,4
22500,14286,1708.35,1319,5551
22550,6,0.0,0,0
22600,35,1720.0,0,1
22650,1,0.0,0,0
22700,48,0.0,0,0
22750,1,0.0,0,0
22800,52,0.0,0,0
22850,1,1399.0,0,1
22900,71,1313.0,58,93
22950,142,1200.55,141,142
23000,22865,1220.15,-116,3536
23050,5,1238.55,0,59
23100,65,1059.4,15,71
23150,6,0.0,0,0
23200,145,1017.0,6,139
23250,20,970.0,15,47
23300,619,921.0,411,3629
23350,11,884.95,-1,7
23400,204,831.35,163,524
23450,83,772.85,82,112
23500,9678,730.0,3502,22048
23550,49,680.0,48,78
23600,980,636.75,714,2971
23650,1337,588.75,1229,3620
23700,2360,538.0,2031,12535
23750,1318,497.95,1225,3118
23800,14331,449.55,9826,44406
23850,3698,407.6,3221,13702
23900,9215,365.3,8490,80345
23950,6984,327.0,6373,51864
24000,69317,287.3,36902,683455
24050,14729,250.4,13599,254482
24100,57719,218.0,54918,1513872
24150,32346,185.15,30234,1180860
24200,107214,157.0,92152,2369408
24250,46166,130.9,42188,1154266
24300,146057,107.0,112273,2149086
24350,66517,86.4,50272,1019671
24400,215294,68.75,71316,2643765
24450,93501,54.55,27846,1000280
24500,303646,42.65,71387,2660193
24550,49058,33.35,21413,676630
24600,156927,25.8,56131,1456510
24650,58536,19.7,18039,661108
24700,158031,15.7,38182,1210297
24750,44479,12.3,18039,571454
24800,167685,9.95,24435,1416741
24850,35162,8.15,6329,535363
24900,113805,6.7,9089,1068950
24950,51287,5.6,26088,454354
25000,437482,4.95,126654,1827385
25050,33822,4.15,3866,313799
25100,102166,3.7,16479,928571
25150,28182,3.3,4248,285440
25200,163435,3.1,46019,857663
25250,31091,2.5,9478,247780
25300,120935,2.35,32495,903992
25350,28360,2.55,13249,215298
25400,106032,2.15,2633,670727
25450,12846,2.0,-861,116016
25500,294946,2.25,9794,1007448
25550,15657,2.0,1457,109859
25600,96771,1.9,28856,390856
25650,20831,1.75,8355,126952
25700,67104,2.1,-1090,227956
25750,7381,1.75,-424,81844
25800,64603,1.7,-2922,236797
25850,15661,2.05,-2737,93771
25900,51435,1.7,5563,202369
25950,6090,1.9,266,27979
26000,291853,1.65,37127,597900
26050,12666,1.45,385,33935
26100,64910,1.65,146,237974
26150,7010,1.45,2043,23096
26200,56905,1.4,-3276,95308
26250,7145,1.45,1005,26132
26300,28830,1.95,2208,45872
26350,3073,1.65,1,5478
26400,23208,1.5,175,38191
26450,4287,1.9,855,11990
26500,159646,1.4,31770,392361
26550,3316,1.5,306,18976
26600,13014,1.35,286,47416
26650,7387,4.1,-137,6663
26700,26804,1.8,15856,75343
26750,3731,1.5,82,10818
26800,11565,2.2,-2030,35457
26850,3768,1.95,271,4070
26900,4880,1.45,1283,17209
26950,1946,1.35,898,9452
27000,294578,1.7,2838,257592
27050,1549,1.95,503,2974
27100,6521,1.5,-1472,30110
27150,11919,1.6,-2641,25273
27200,18252,1.65,2479,27723
27250,1168,4.35,49,2089
27300,7483,1.4,2499,23291
27350,2127,1.65,-920,7410
27400,5967,1.85,971,16469
27450,859,4.25,-288,2579
27500,127470,1.6,25861,324119
27550,17410,1.85,12685,48092
27600,16125,1.8,9096,51398
27650,7105,1.8,6504,17842
27700,27073,1.6,3188,81999
27750,47422,1.8,44852,122786
27800,52064,1.65,44518,130555
27850,33615,1.65,32076,97436
27900,94190,1.35,30713,352787
27950,186686,1.45,38291,542282
