Strike Price,Open Interest,LTP,Change in OI,Volume
22250,268216,2.0,58679,916124
22300,142363,2.1,81970,706202
22350,28999,2.8,10754,73166
22400,49509,2.6,17586,146323
22450,13421,3.15,8556,58228
22500,201605,2.85,27149,527836
22550,6289,3.0,3721,40865
22600,29328,3.25,7052,142330
22650,5072,3.3,2080,43708
22700,51465,3.35,3728,223263
22750,6204,3.3,1890,41091
22800,86500,3.9,15503,349269
22850,11067,5.65,5057,64371
22900,35638,5.0,12334,261621
22950,11478,5.05,8203,84712
23000,309362,5.7,101526,984741
23050,6911,5.95,-853,154875
23100,36043,6.55,7100,467078
23150,13060,6.95,-247,254253
23200,72908,7.15,16517,685308
23250,15925,7.15,10087,321489
23300,63409,8.95,27843,627468
23350,14188,10.1,10311,360536
23400,87247,11.75,46110,696868
23450,21071,13.25,12230,365656
23500,222077,15.4,68600,1284113
23550,16146,17.5,4227,317200
23600,52739,19.8,5681,744571
23650,19236,23.8,12045,390604
23700,70929,27.4,29787,852768
23750,19379,32.95,10864,422954
23800,92505,38.45,34552,1375054
23850,23887,45.95,8138,529312
23900,84831,54.4,31721,1294264
23950,23505,62.55,9040,763183
24000,209030,74.1,-7013,3184137
24050,23927,87.65,9955,1012850
24100,99542,104.0,37136,2875326
24150,37917,122.0,14623,1738623
24200,111969,142.4,25886,2865176
24250,20652,167.0,3986,1249412
24300,96185,192.55,-27783,2034692
24350,31856,221.0,-3448,823437
24400,128445,253.05,-66692,1660246
24450,63769,289.1,-13361,429728
24500,196794,326.25,-41515,892120
24550,18287,366.9,-712,86933
24600,54819,413.1,-17121,194496
24650,7793,457.7,-1756,31516
24700,38263,503.0,-6917,87111
24750,4589,543.35,-857,15823
24800,49845,595.0,-9673,58681
24850,5080,644.85,-930,4944
24900,36050,687.15,-2272,19135
24950,6748,739.25,-734,2391
25000,130345,789.35,-7998,75893
25050,3512,837.85,-355,1086
25100,17418,883.6,-1341,5831
25150,2538,937.9,-292,705
25200,35600,984.95,-2188,6362
25250,5225,1038.25,-893,2025
25300,24587,1083.0,-655,4747
25350,2261,1134.2,-36,188
25400,22506,1178.0,-1398,2943
25450,1719,1230.45,-49,573
25500,98182,1283.95,14584,28944
25550,1095,1331.0,-38,232
25600,17597,1383.0,-2216,2877
25650,1173,1427.35,-174,474
25700,30133,1477.55,-617,1161
25750,804,1530.0,-22,124
25800,35266,1574.15,-1159,2210
25850,1195,1660.15,-31,62
25900,20789,1693.0,-117,1056
25950,842,1812.1,-32,38
26000,88170,1783.35,-4441,11033
26050,914,1935.0,-5,43
26100,26817,1880.35,-364,592
26150,1270,2064.05,-25,39
26200,23216,1973.85,-103,749
26250,1127,2120.0,-54,244
26300,12232,2078.0,-285,740
26350,1205,2223.95,-1,67
26400,6640,2171.9,-34,125
26450,364,2320.0,-4,39
26500,14353,2272.25,-1750,3047
26550,523,2468.6,-16,40
26600,577,2496.0,-12,21
26650,445,0.0,0,0
26700,537,2575.4,-9,17
26750,515,0.0,0,0
26800,759,2567.85,-16,29
26850,81,0.0,0,0
26900,626,0.0,0,0
26950,11,0.0,0,0
27000,25681,2771.4,-2389,3115
27050,8,0.0,0,0
27100,121,2795.5,0,1
27150,12,0.0,0,0
27200,252,3115.0,11,152
27250,0,0.0,0,0
27300,100,3183.7,-1,2
27350,0,0.0,0,0
27400,82,0.0,0,0
27450,10,0.0,0,0
27500,10655,3269.0,-116,354
27550,0,0.0,0,0
27600,53,3450.0,0,4
27650,5,0.0,0,0
27700,145,0.0,0,0
27750,12,0.0,0,0
27800,37,3526.75,4,9
27850,18,0.0,0,0
27900,3950,3800.0,-2,7
27950,1,0.0,0,0
